url,comment
https://api.scraperapi.com/?url=https%3A%2F%2Fspec.drom.ru%2Fomsk%2Ftruck%2Ftruck-tractor%2Fsedelnyj-tjagach-kamaz-65116-7010-48-86731259.html&api_key=c5b27047a60083e3106175052790b035&scraper_sdk=python,"Технические характеристики Тягач КАМАЗ-65116-48 (A5) Производитель ПАО ""КАМАЗ""(Россия) Максимальный крутящий момент, Нм 1087 Мощность двигателя, л.с. 300 Колесная формула 6х4 Экологический класс Евро-5 Двигатель модель Cummins ISB6.7E5 300 Коробка передач модель ZF 9S1310 Число передач КП 9 Высота ССУ, мм 1255/1330 Масса снаряжённого автомобиля, кг 7275 Рабочий объем двигателя, л 6,7 Технически допустимая общая масса автомобиля, кг 22850 Технически допустимая масса автопоезда, кг 37850 Распределение общей массы на переднюю ось, кг 5050 Распределение общей массы на задний мост, кг 17800 Масса, приходящаяся на опорно-сцепное устройство, кг 15500 Размерность шин 11.00R22,5 Высокая кабина со спальным местом, рестайлинговая, аэродинамический козырек."
https://api.scraperapi.com/?url=https%3A%2F%2Fspec.drom.ru%2Fnaberezhnye-chelny%2Ftruck%2Ftruck-tractor%2Fkamaz-53504-sajgak-80434710.html&api_key=c5b27047a60083e3106175052790b035&scraper_sdk=python,"Модификация автомобиля на фото:  -КамАЗ 53504 седельный тягач; -Год выпуска - 2016 -ДВС - Euro 4 Common Rail 300 л/с; -КПП - ZF 9; -Раздатка - 65111 усиленная; -После полного капитально ремонта; -ССУ - V.ORLANDI; -Кабина со спальником; -Два бака по 210 л; -Гарантия на основные узлы и агрегаты 25000 км. или 4 месяца по всей России;  Данный автомобиль в наличие!  Любая форма оплаты: наличная и безналичная с НДС, лизинг, программа TRAID-IN. Более подробную информацию уточняйте по телефону!"
https://api.scraperapi.com/?url=https%3A%2F%2Fspec.drom.ru%2Fmoskva%2Ftruck%2Ftruck-tractor%2Fkamaz-65116-6912-48-prodaju-78239029.html&api_key=c5b27047a60083e3106175052790b035&scraper_sdk=python,Тягач камаз 65116 продаю Двигатель каминз 300 л с Ссу 1300 мм КПП ZF Три оси Кабина с спальным местом  Индивидуальный подход к каждому клиенту Участие в государственных программах льготного лизинга Доставка Трейд ин
https://api.scraperapi.com/?url=https%3A%2F%2Fspec.drom.ru%2Fekaterinburg%2Ftruck%2Ftruck-tractor%2Fsedelnyj-tjagach-kamaz-5490-s5-2016-g-v-86714346.html&api_key=c5b27047a60083e3106175052790b035&scraper_sdk=python,"Мы бережем Ваше время, поэтому готовы провести презентацию автомобиля дистанционно: - снимем подробный видеообзор - выйдем в онлайн-показ - проведем тест-драйв *Подробности узнавайте по телефону __________  Установлено новое сцепление, новые тормозные диски и колодки. Резина с остатком более 60 %. Техника готова к работе сразу после продажи.  Техническое описание: Год изготовления: 2016 Колёсная формула: 4х2 Мощность двигателя, л.с: 401 Объем двигателя, куб.см: 11 967 Изготовитель: ПАО КАМАЗ Разрешенная максимальная масса,кг: 18 600 Масса без нагрузки, кг: 7 900 Грузоподъемность, кг: 10 700 Экологический класс: ЕВРО-3 Тип КПП: Механическая Пробег, км: 565 000 Тип подвески: Пневматическая  Дополнительная информация: Инструментальный ящик Подзапасник Запасное колесо Спойлер Противотуманные фары Солнцезащитный козырек Автономный отопитель Кондиционер Тахограф Люк Электростеклоподъёмники ABS Количество спальных мест: 1 Количество баков: 1 Смотреть все предложения компании здесь -  Глобал Трак Сейлс - официальный дилер Mercedes-Benz, KRONE, Schmitz Cargobull, MAN, Fliegl, Kassbohrer, Zaslaw, Kogel, ТОНАР, ТверьСтройМаш и многих других российских и европейских производителей грузовой техники.Торговый партнер Global Truck Service.  Мы являемся аккредитованной компанией во всех известных на рынке лизинговых компаниях и банках (ФМФ-Лизинг, БайкалИнвест, Альфа-Лизинг, Европлан, ВТБ-Лизинг, Балтийский-Лизинг, Сбербанк, Газпромбанк и др.). Возможно приобретение техники в кредит/лизинг."
https://api.scraperapi.com/?url=https%3A%2F%2Fspec.drom.ru%2Fnaberezhnye-chelny%2Ftruck%2Ftruck-tractor%2Fkamaz-4310-shassi-57381314.html&api_key=c5b27047a60083e3106175052790b035&scraper_sdk=python,"- Привод 6х6 - Двигатель КАМАЗ 740.10 - 260л.с. - Коробка передач КАМАЗ 14 (5 ступ) - Кабина высокая! - Топливный бак 2х125 литров - ДЗК с запаской (новая)  ДОПОЛНИТЕЛЬНО устанавливается по желанию - Лебедка - установка отопителя (Фен) - Монтаж седельного устройства - Бортовая платформа ЕВРО от 118т.р. - Усиление и удлинение рамы, по ВАШЕМУ желанию И другие доработки"
https://api.scraperapi.com/?url=https%3A%2F%2Fspec.drom.ru%2Fnaberezhnye-chelny%2Ftruck%2Ftruck-tractor%2Ftjagach-kamaz-65116-restajling-2-78330075.html&api_key=c5b27047a60083e3106175052790b035&scraper_sdk=python,"Заводские машины. Тягач 65116-7010 - второй рестайлинг Кабина будет как на фото с оранжевой машиной Составной бампер 10.12 .2019 сходит с конвейера пара едениц, потом 20 и 30 числа. Мотор Cummins 300л.с. КПП ZF9  ЗА НАЛИЧНЫЕ - ГАРАНТИЯ ЛУЧШЕЙ ЦЕНЫ!!! ПРОДАЖА НАПРЯМУЮ ОТ ЗАВОДА ИЛИ ОФИЦИАЛЬНОГО ДИЛЕРА!!! Продажа КАМАЗ осуществляется с площадки компании в городе Набережные Челны. Клиенты из Республики Татарстан и отдаленных регионов могут заказать технику с доставкой. Так же осуществляем доработки автомобиля КАМАЗ: Добавить комфорта водителю, увеличить объем топливных баков, оборудовать кабину двуспальным местом, установить кондиционер в салон автомобиля КАМАЗ - любые пожелания клиентов по доработке КАМАЗов нам по плечу. Несмотря на то, что завод КАМАЗ выпускает огромное количество модификаций автомобилей, каждый водитель старается адаптировать КАМАЗ под свои привычки для того чтобы работа на большегрузе доставляла удовольствие. - доработка кабины КАМАЗ; - доработка под перевозку опасных грузов, передний выхлоп; - доработка под перевозку опасных грузов, выхлоп вверх; - доработка для использования в условиях севера; - доработка для использования в условиях тропиков; -установка механической или электрической лебедки; - доработка для работы с прицепом (электропневмовыводы) с установкой фаркопа ЕВРО; - доработка автомобилей КАМАЗ шасси, бортовых для работы с прицепом: электро-, пневмо выводы, ТСУ, знак автопоезда; - установка лебедки 43114, 43118; - гидрофикация базового автомобиля ; - установка ABS WABCO на автомобили Камаз - установкой двигателей -централизованная система смазки. - другие виды доработок.  Реализуем со своей стоянки в городе Набережные Челны новые автомобили КамАЗ: тягачи (тягач) 54115, 65116, 44108, 53504, 5460, 5490, 6460, 65116, 65225, 65201 самосвалы (самосвал) 53215, 65115, 6520, 6522, (сельхозник), 45143, 45144, 4528, 45141 бортовые (бортовой) 43118, 53215, 65117, 4308, 65207 сортиментовоз, лесовоз, ломовоз металловоз, зерновоз, картофелевоз, топливозаправщик, кран манипулятор, кму, миксер (автобетоносмеситель АБС), автогидроподъёмник (АГП), БКУ, БКМ, бурильно-крановая установка, буровая навеска для КМУ, фургон изотермический, рефрижератор (холодильник), а так же спецтехнику на шасси КАМАЗ.  Осуществляем доработку автомобилей и шасси КАМАЗ по желанию заказчика: установка ТСУ, ПЭГВ, увеличение колёсной базы, перенос ДЗК, северное исполнение, замена трубок, изготовление и установка кузовов и т.д. более 50 доработок. Перегон товарной техники до склада покупателя. Оформление ПТС, транзитных номеров, страховки Редактировать текст объявления"
https://api.scraperapi.com/?url=https%3A%2F%2Fspec.drom.ru%2Fmiass%2Ftruck%2Ftruck-tractor%2Fsedelnyj-tjagach-kamaz-43118-2020-g-v-s-polupricepom-lizing-zavod-74791313.html&api_key=c5b27047a60083e3106175052790b035&scraper_sdk=python,"Седельный тягач на базе автомобиля Камаз 53504, Год выпуска 2020 Полный привод 6*6 Автошины 425/85R21 Ошиновка односкатная Двигатель КАМАЗ 740.662-300, дизельный, экологический класс пятый Дополнительно МОБ, МКБ, ДЗК, КПП ZF9, топл.ап. BOSCH Common Rail, бак 210+350 л. Полуприцеп модель 9334-2310, грузоподъемность 16,4 тн. длинна 12 метров. Доставка в любой регион России. Лизинг Возможна комплектация любым полуприцепом. В указанную стоимость в объявлении полуприцеп не входит."
https://api.scraperapi.com/?url=https%3A%2F%2Fspec.drom.ru%2Ftomsk%2Ftruck%2Ftruck-tractor%2Fsedelnyj-tjagach-kamaz-65116-7010-48-86830728.html&api_key=c5b27047a60083e3106175052790b035&scraper_sdk=python,"Технические характеристики Тягач КАМАЗ-65116-48 (A5) Производитель ПАО ""КАМАЗ""(Россия) Максимальный крутящий момент, Нм 1087 Мощность двигателя, л.с. 300 Колесная формула 6х4 Экологический класс Евро-5 Двигатель модель Cummins ISB6.7E5 300 Коробка передач модель ZF 9S1310 Число передач КП 9 Высота ССУ, мм 1255/1330 Масса снаряжённого автомобиля, кг 7275 Рабочий объем двигателя, л 6,7 Технически допустимая общая масса автомобиля, кг 22850 Технически допустимая масса автопоезда, кг 37850 Распределение общей массы на переднюю ось, кг 5050 Распределение общей массы на задний мост, кг 17800 Масса, приходящаяся на опорно-сцепное устройство, кг 15500 Размерность шин 11.00R22,5 Высокая кабина со спальным местом, рестайлинговая, аэродинамический козырек."
https://api.scraperapi.com/?url=https%3A%2F%2Fspec.drom.ru%2Fnaberezhnye-chelny%2Ftruck%2Ftruck-tractor%2Fkamaz-44108-sedelnyj-tjagach-83426743.html&api_key=c5b27047a60083e3106175052790b035&scraper_sdk=python,Тягач оборудован под перевозку опасных грузов Гидрофикация Пробег 50 000км.
https://api.scraperapi.com/?url=https%3A%2F%2Fspec.drom.ru%2Fchelyabinsk%2Ftruck%2Ftruck-tractor%2Ftjagach-kamaz-65116-7010-48-71311332.html&api_key=c5b27047a60083e3106175052790b035&scraper_sdk=python,"2020г. (дата выдачи ПТС – февраль 2020г) Кол.форм 6х4, 2-скат. ошин, шины 11R22,5, нагрузка на ССУ15,5т., дв. Cummins ISB6.7E5 300 (Евро-5), ТНВД BOSCH, Common Rail, сист. нейтрализ. ОГ(AdBlue), КПП ZF9, п/о гл.передачи 5,94, кабина с 1 сп.местом, топл. бак 350л, высота ССУ-1255/1330, тахограф российского стандарта с блоком СКЗИ, кнопка УВЭОС, Цвет Желтый"
